City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,retreat,38.8245,-85.8533,270.92,53,8,0.45,US,1736446293
1,paramonga,-10.6667,-77.8333,296.47,75,61,4.34,PE,1736446294
2,nyandoma,61.669,40.1991,258.0,99,100,2.49,RU,1736446295
3,ushuaia,-54.8,-68.3,285.45,49,90,2.58,AR,1736446243
4,yellowknife,62.456,-114.3525,247.44,76,20,2.06,CA,1736446298
5,lagoa,39.05,-27.9833,290.9,90,100,8.85,PT,1736446299
6,flagstaff,35.1981,-111.6513,273.71,43,0,8.23,US,1736446032
7,albany,42.6001,-73.9662,267.85,65,67,5.36,US,1736446235
8,tanjung pandan,-2.75,107.65,300.0,84,100,4.99,ID,1736446302
9,bredasdorp,-34.5322,20.0403,294.92,67,0,9.86,ZA,1736446303
10,puerto baquerizo moreno,-0.9,-89.6,301.7,70,40,6.69,EC,1736446304
11,mil'kovo,55.6078,37.7956,273.34,94,70,3.86,RU,1736446306
12,nemuro,43.3236,145.575,268.6,67,13,1.15,JP,1736446307
13,ulaangom,49.9811,92.0667,250.53,99,100,0.71,MN,1736446308
14,blackmans bay,-43.0167,147.3167,286.77,91,13,0.45,AU,1736446309
15,georgetown,5.4112,100.3354,301.11,68,20,2.57,MY,1736445824
16,olonkinbyen,70.9221,-8.7187,269.29,75,100,10.27,SJ,1736446311
17,stanley,54.868,-1.6985,271.58,80,0,3.6,GB,1736446313
18,namibe,-15.1961,12.1522,294.8,77,92,3.24,AO,1736446314
19,alta,69.9689,23.2717,251.74,84,20,2.06,NO,1736446315
20,port-aux-francais,-49.35,70.2167,278.04,92,95,22.16,TF,1736446316
21,port alfred,-33.5906,26.891,297.14,90,0,2.71,ZA,1736446317
22,carnarvon,-24.8667,113.6333,298.18,67,54,9.29,AU,1736446318
23,waitangi,-43.9535,-176.5597,284.72,89,77,2.68,NZ,1736446320
24,ancud,-41.8697,-73.8203,289.24,51,63,4.75,CL,1736446267
25,sao jose dos campos,-23.1794,-45.8869,296.42,83,75,5.66,BR,1736446300
26,saint-philippe,-21.3585,55.7679,299.54,85,6,5.1,RE,1736446323
27,port elizabeth,-33.918,25.5701,296.31,88,0,4.63,ZA,1736445737
28,winterset,41.3308,-94.0138,274.02,74,90,6.41,US,1736446228
29,aioun,16.6614,-9.6149,301.13,11,9,4.97,MR,1736446326
30,krasnovishersk,60.4078,57.082,272.69,98,100,2.75,RU,1736446328
31,bom jesus do itabapoana,-21.1339,-41.6797,299.77,86,62,2.64,BR,1736446329
32,iqaluit,63.7506,-68.5145,256.0,77,100,1.03,CA,1736446330
33,klyuchi,52.2667,79.1667,266.65,95,100,5.88,RU,1736446331
34,margaret river,-33.95,115.0667,288.0,83,100,2.96,AU,1736446332
35,namsos,64.4662,11.4957,269.1,80,75,4.12,NO,1736446333
36,peniche,39.3558,-9.3811,289.93,93,16,4.31,PT,1736446334
37,arraial do cabo,-22.9661,-42.0278,298.07,94,100,4.63,BR,1736446094
38,hawaiian paradise park,19.5933,-154.9731,294.76,99,100,3.09,US,1736446106
39,tura,25.5198,90.2201,286.27,73,1,1.43,IN,1736446338
40,badger,64.8,-147.5333,262.08,86,0,0.0,US,1736446339
41,edinburgh of the seven seas,-37.0676,-12.3116,290.97,92,100,5.23,SH,1736446340
42,qaqortoq,60.7167,-46.0333,263.36,70,82,2.78,GL,1736446342
43,bethel,41.3712,-73.414,274.76,55,78,5.81,US,1736446345
44,tiksi,71.6872,128.8694,247.53,97,32,5.45,RU,1736446346
45,college,64.8569,-147.8028,263.19,82,75,0.0,US,1736446347
46,uturoa,-16.7333,-151.4333,301.28,74,100,5.31,PF,1736446348
47,adamstown,-25.066,-130.1015,298.08,80,100,9.85,PN,1736446349
48,salinopolis,-0.6136,-47.3561,301.16,79,69,4.16,BR,1736446350
49,palikir - national government center,6.9248,158.1611,300.61,78,98,9.01,FM,1736446352
50,opuwo,-18.0607,13.84,299.21,34,100,4.46,NA,1736446353
51,grytviken,-54.2811,-36.5092,277.18,77,100,2.35,GS,1736446354
52,floro,61.5996,5.0328,271.13,74,50,2.57,NO,1736446355
53,hermanus,-34.4187,19.2345,294.71,74,10,8.37,ZA,1736446356
54,nouadhibou,20.931,-17.0347,296.14,49,7,4.63,MR,1736446357
55,bahir dar,11.5936,37.3908,292.47,43,11,2.65,ET,1736446358
56,lubang,13.8584,120.124,299.5,74,32,11.82,PH,1736446359
57,acarau,-2.8856,-40.12,303.7,60,33,7.64,BR,1736446361
58,tual,-5.6667,132.75,302.01,72,100,5.65,ID,1736446362
59,lycksele,64.5954,18.6735,264.08,92,100,1.03,SE,1736446363
60,fale old settlement,-9.3852,-171.2468,301.23,69,92,9.9,TK,1736446364
61,formosa do rio preto,-11.0483,-45.1931,300.91,71,100,1.56,BR,1736446365
62,punta arenas,-53.15,-70.9167,288.21,33,0,11.32,CL,1736446366
63,ust-nera,64.5667,143.2,242.93,99,100,1.7,RU,1736446367
64,la mira,18.035,-102.3266,301.4,55,88,3.47,MX,1736446369
65,iskateley,67.6803,53.1512,265.73,95,100,5.38,RU,1736446370
66,longyearbyen,78.2186,15.6401,270.06,86,75,4.12,SJ,1736446371
67,saipan,15.1355,145.701,299.62,91,75,4.63,MP,1736446159
68,quelimane,-17.8786,36.8883,302.12,70,75,5.66,MZ,1736446373
69,charters towers,-20.1,146.2667,296.09,80,33,5.8,AU,1736446374
70,talnakh,69.4865,88.3972,246.78,98,32,1.29,RU,1736446375
71,havre,49.5833,0.3333,279.02,65,75,5.14,FR,1736446378
72,pisco,-13.7,-76.2167,298.18,61,0,5.66,PE,1736446379
73,nogliki,51.8333,143.1667,259.89,92,98,7.15,RU,1736446380
74,escarcega,18.6089,-90.7454,301.51,42,43,2.02,MX,1736446381
75,puerto natales,-51.7236,-72.4875,289.4,33,40,10.29,CL,1736446382
76,pasuquin,18.3328,120.6177,297.12,78,20,1.54,PH,1736446383
77,vilyuysk,63.7553,121.6247,251.37,92,100,1.64,RU,1736446385
78,weining,26.85,104.2333,272.35,94,100,1.92,CN,1736446386
79,flying fish cove,-10.4217,105.6791,298.97,94,100,3.09,CX,1736446387
80,prince rupert,54.3161,-130.3201,282.98,87,100,16.46,CA,1736446388
81,grand falls-windsor,48.9332,-55.6649,273.99,93,100,3.72,CA,1736446389
82,prince george,53.9166,-122.753,274.61,95,100,1.79,CA,1736446148
83,port mathurin,-19.6833,63.4167,299.44,90,78,11.35,MU,1736446391
84,kinablangan,7.6947,126.5503,297.4,86,78,2.31,PH,1736446392
85,mitu,1.1983,-70.1733,305.3,52,100,1.9,CO,1736446394
86,kiruna,67.8557,20.2251,256.66,85,100,0.0,SE,1736446395
87,ujae,8.9322,165.7642,301.15,80,11,9.69,MH,1736446393
88,paita,-5.0892,-81.1144,297.98,69,90,6.37,PE,1736446208
89,constantia,44.1833,28.65,281.53,90,0,4.56,RO,1736446399
90,christchurch,-43.5333,172.6333,286.43,80,100,3.6,NZ,1736446243
91,papatowai,-46.5619,169.4708,284.06,84,100,1.65,NZ,1736446402
92,remire-montjoly,4.9167,-52.2667,302.17,70,75,4.12,GF,1736446403
93,kudahuvadhoo,2.6708,72.8944,301.17,74,17,4.76,MV,1736446404
94,invercargill,-46.4,168.35,284.83,90,98,0.45,NZ,1736446405
95,santa vitoria do palmar,-33.5189,-53.3681,299.91,46,54,5.25,BR,1736446406
96,ciudad guadalupe victoria,24.4497,-104.1225,286.7,60,61,14.22,MX,1736446407
97,chibougamau,49.9168,-74.3659,264.94,93,100,5.14,CA,1736446408
98,novoishimskiy,53.1981,66.7694,266.86,71,100,9.8,KZ,1736446410
99,aasiaat,68.7098,-52.8699,257.49,91,93,4.31,GL,1736446411
100,takab,36.4009,47.1133,270.86,77,3,2.09,IR,1736446412
101,nova sintra,14.8667,-24.7167,297.1,71,0,8.28,CV,1736446413
102,puerto ayora,-0.7393,-90.3518,299.57,89,80,2.68,EC,1736446414
103,codrington,-38.2667,141.9667,291.28,68,98,2.86,AU,1736446415
104,rio vista,38.1558,-121.6913,288.39,57,0,3.05,US,1736446417
105,mombetsu,44.3525,143.3525,269.58,70,100,4.95,JP,1736446418
106,lensk,60.7253,114.9278,253.9,89,93,2.14,RU,1736446419
107,evergreen,39.6333,-105.3172,269.67,73,100,1.79,US,1736446420
108,yarkovo,57.4028,67.0786,271.6,96,100,6.27,RU,1736446421
109,okha,53.5739,142.9478,255.46,96,85,7.46,RU,1736446423
110,ain defla,36.2641,1.9679,286.12,62,83,2.75,DZ,1736446424
111,zaozersk,69.4005,32.4476,263.77,90,100,3.4,RU,1736446425
112,st. john's,47.5649,-52.7093,275.42,77,51,2.68,CA,1736446132
113,kapa'a,22.0752,-159.319,294.33,95,100,3.6,US,1736446427
114,mahdishahr,35.7108,53.3556,275.93,65,1,0.81,IR,1736446428
115,bolobo,-2.1667,16.2333,298.0,77,79,1.29,CD,1736446429
116,san pedro de macoris,18.4616,-69.2972,300.78,63,42,2.44,DO,1736446431
117,utrik,11.2278,169.8474,300.1,78,12,11.02,MH,1736446432
118,ribeira grande,38.5167,-28.7,292.47,82,75,10.29,PT,1736446433
119,villa gesell,-37.2639,-56.973,296.03,65,0,11.07,AR,1736446269
120,kodiak,57.79,-152.4072,275.88,93,100,7.72,US,1736446435
